review_text,cleaned_text
"Battery too good, It Feels Premium, If you are looking for it just go for it. Overall no competition 🔥 Love this one 🫶❤️",battery good feels premium looking overall competition love one
"Definitely one of the best laptop in it's segment. Got it less than 40. This laptop is really a very good choice for students, medium level coders, office usage. Not suggested for gamers, editors or h... more",definitely one best laptop segment got less laptop really good choice students medium level coders office usage suggested gamers editors
"That is nice laptop at this price, if you can find a laptop for college and other work you can choice this laptop Battery 7 -8 hours Display - 4.6/5 Performance- 4.7/5 Gaming- 4.1/5 Office work/codi... more",nice laptop price find laptop college work choice laptop battery hours display performance gaming office workcodi
Good product with good design and performance. Comparing to other brands it is slightly expensive but I got it with attractive offers.,good product good design performance comparing brands slightly expensive got attractive offers
"Product is slim good for coders and creators Especially for college students, Battery is too Good as per the price with latest processor",product slim good coders creators especially college students battery good per price latest processor
Amazing product. Great performance. Sleek design......Very satisfied with my purchase.,amazing product great performance sleek designvery satisfied purchase
samsung is master of all technologies....❣❣ never doubt on samsung,samsung master technologies never doubt samsung
value for money. keyboard could be better,value money keyboard could better
"After using of almost 3 months, there is no doubt that my decision is right to choose this laptop rather than Lenovo and HP. lapee is sleek, metal body, fast and provide some new features which is hel... more",using almost months doubt decision right choose laptop rather lenovo lapee sleek metal body fast provide new features hel
"Excellent laptop from samsung, really a unexpected one for college purposes. Bought in big billion sale at 43k then battery works for 7 to 8 hrs in normal usage. Display is good, performance also good... more",excellent laptop samsung really unexpected one college purposes bought big billion sale battery works hrs normal usage display good performance also good
I bought it on sale with a bank offer for 46k (16Gb) best laptop at this price range the overall performance is amazing. The battery is decent one problem is that the speaker grill is present at the ... more,bought sale bank offer best laptop price range overall performance amazing battery decent one problem speaker grill present
Galaxy book 4 i5 16gb ram Varient. I bought it at 41k ( 49k - 8k sbi CC discount)Apx. in sasa lele sale. Initial review- 1)Screen on time is 6:30 minutes Sleep time is 4:30 minutes. I used 1 hr r... more,galaxy book ram varient bought sbi discountapx sasa lele sale initial review time minutes sleep time minutes used
This is my first laptop and I loved samsung book 4 i5 13th gen 1335U series processor i purchased this laptop in flipkart GOAT SALE in only 41k and that's is awesome laptop I love this screen and perf... more,first laptop loved samsung book gen series processor purchased laptop flipkart goat sale thats awesome laptop love screen perf
Today my laptop delivered. It is awesome 👍😎. I will post Detailed review later after 1 month later. Best build quality. Good looking. It comes with lifetime free ms office.,today laptop delivered awesome post detailed review later month later best build quality good looking comes lifetime free office
It is good enough for your daily tasks. Ideal for college students. Value for money. Battery is good. Performance could have been improved.,good enough daily tasks ideal college students value money battery good performance could improved
I got it for 36k and in this budget it is best value for money product,got budget best value money product
